LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1760380186.398411,201272.000,31426,3,GZ,1,100,0.336
1760380186.398411,201272.000,31426,3,GZ,1,100,0.305
1760380186.398411,201272.000,31426,3,GZ,1,100,0.275
1760380186.434411,201308.000,31444,3,GZ,1,100,0.214
1760380186.470411,201344.000,31444,3,GZ,1,100,0.183
1760380186.506412,201380.000,31444,3,GZ,1,100,0.366
1760380186.546412,201420.000,31460,2,GZ,1,100,0.397
1760380186.586413,201460.000,31460,2,GZ,1,100,0.244
1760380186.626413,201500.000,31475,3,GZ,1,100,-0.031
1760380186.666414,201540.000,31475,3,GZ,1,100,0.244
1760380186.706414,201580.000,31475,3,GZ,1,100,0.061
1760380186.746414,201620.000,31492,3,GZ,1,100,-0.122
1760380186.786415,201660.000,31492,3,GZ,1,100,-0.092
1760380186.826415,201700.000,31492,3,GZ,1,100,0.275
1760380186.866416,201740.000,31509,2,GZ,1,100,0.183
1760380186.906416,201780.000,31509,2,GZ,1,100,0.061
1760380186.946417,201820.000,31525,3,GZ,1,100,-0.214
1760380186.986417,201860.000,31525,3,GZ,1,100,-0.031
1760380187.026417,201900.000,31525,3,GZ,1,100,0.488
1760380187.066418,201940.000,31540,2,GZ,1,100,0.580
1760380187.106418,201980.000,31540,2,GZ,1,100,0.793
1760380187.146419,202020.000,31563,3,GZ,1,100,0.549
1760380187.186419,202060.000,31563,3,GZ,1,100,0.580
1760380187.226420,202100.000,31563,3,GZ,1,100,0.397
1760380187.266420,202140.000,31580,2,GZ,1,100,0.397
1760380187.306421,202180.000,31580,2,GZ,1,100,-0.275
1760380187.346421,202220.000,31598,3,GZ,1,100,-0.122
1760380187.386421,202260.000,31598,3,GZ,1,100,-0.214
1760380187.426422,202300.000,31598,3,GZ,1,100,-0.244
1760380187.466422,202340.000,31614,2,GZ,1,100,-0.244
1760380187.506423,202380.000,31614,2,GZ,1,100,-0.427
1760380187.546423,202420.000,31630,3,GZ,1,100,-0.031
1760380187.586424,202460.000,31630,3,GZ,1,100,0.671
1760380187.626424,202500.000,31630,3,GZ,1,100,0.153
1760380187.666425,202540.000,31647,2,GZ,1,100,0.122
1760380187.706425,202580.000,31647,2,GZ,1,100,-0.092
1760380187.746425,202620.000,31666,3,GZ,1,100,0.214
1760380187.786426,202660.000,31666,3,GZ,1,100,0.732
1760380187.826426,202700.000,31666,3,GZ,1,100,0.275
1760380187.866427,202740.000,31684,2,GZ,1,100,0.366
1760380187.906427,202780.000,31684,2,GZ,1,100,0.580
1760380187.946428,202820.000,31699,3,GZ,1,100,0.641
1760380187.986428,202860.000,31699,3,GZ,1,100,1.068
1760380188.026429,202900.000,31699,3,GZ,1,100,1.099
1760380188.066429,202940.000,31716,2,GZ,1,100,0.488
1760380188.106430,202980.000,31716,2,GZ,1,100,0.092
1760380188.146430,203020.000,31733,3,GZ,1,100,0.061
1760380188.186430,203060.000,31733,3,GZ,1,100,0.244
1760380188.226431,203100.000,31733,3,GZ,1,100,0.214
1760380188.266431,203140.000,31750,3,GZ,1,100,0.671
1760380188.306432,203180.000,31750,3,GZ,1,100,0.061
1760380188.346432,203220.000,31750,3,GZ,1,100,-0.183
1760380188.386433,203260.000,31766,2,GZ,1,100,-0.244
1760380188.426433,203300.000,31766,2,GZ,1,100,-0.427
1760380188.466434,203340.000,31786,3,GZ,1,100,-0.366
1760380188.506434,203380.000,31786,3,GZ,1,100,-0.549
1760380188.546434,203420.000,31786,3,GZ,1,100,-0.549
1760380188.586435,203460.000,31802,2,GZ,1,100,-0.458
1760380188.626435,203500.000,31802,2,GZ,1,100,-0.458
1760380188.666436,203540.000,31819,3,GZ,1,100,-0.275
1760380188.706436,203580.000,31819,3,GZ,1,100,-0.061
1760380188.746437,203620.000,31819,3,GZ,1,100,0.061
1760380188.786437,203660.000,31834,2,GZ,1,100,-0.031
1760380188.826437,203700.000,31834,2,GZ,1,100,-0.549
1760380188.866438,203740.000,31853,3,GZ,1,100,-0.519
1760380188.906438,203780.000,31853,3,GZ,1,100,-0.214
1760380188.946439,203820.000,31853,3,GZ,1,100,-0.336
1760380188.986439,203860.000,31869,2,GZ,1,100,-0.183
1760380189.026440,203900.000,31869,2,GZ,1,100,0.061
1760380189.066440,203940.000,31887,3,GZ,1,100,0.092
1760380189.106441,203980.000,31887,3,GZ,1,100,-0.061
1760380189.146441,204020.000,31887,3,GZ,1,100,0.122
1760380189.186441,204060.000,31901,2,GZ,1,100,0.092
1760380189.226442,204100.000,31901,2,GZ,1,100,0.214
1760380189.266442,204140.000,31920,3,GZ,1,100,0.366
1760380189.306443,204180.000,31920,3,GZ,1,100,0.336
1760380189.346443,204220.000,31920,3,GZ,1,100,0.122
1760380189.386110,204259.667,31936,3,GZ,1,100,-0.061
1760380189.425777,204299.333,31936,3,GZ,1,100,0.031
1760380189.465445,204339.000,31936,3,GZ,1,100,-0.244
1760380189.505945,204379.500,31954,2,GZ,1,100,-0.153
1760380189.546445,204420.000,31954,2,GZ,1,100,0.488
1760380189.586112,204459.667,31970,3,GZ,1,100,0.275
1760380189.625780,204499.333,31970,3,GZ,1,100,-0.366
1760380189.665447,204539.000,31970,3,GZ,1,100,-0.305
1760380189.705947,204579.500,31987,2,GZ,1,100,-0.214
1760380189.746448,204620.000,31987,2,GZ,1,100,0.305
