LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1760382196.967207,1501854.000,50570,1,BV,1,100,3.75
1760382201.966110,1506853.000,51384,1,BV,1,100,3.75
1760382206.966013,1511853.000,52200,1,BV,1,100,3.76
1760382211.964916,1516852.000,52996,1,BV,1,100,3.75
1760382216.964819,1521852.000,53805,1,BV,1,100,3.75
1760382221.963722,1526851.000,54620,1,BV,1,100,3.74
1760382226.963625,1531851.000,55429,1,BV,1,100,3.75
1760382231.962528,1536850.000,56236,1,BV,1,100,3.75
1760382236.962432,1541850.000,57044,1,BV,1,100,3.74
1760382241.961335,1546849.000,57853,1,BV,1,100,3.75
1760382246.961238,1551849.000,58660,1,BV,1,100,3.75
1760382251.960141,1556848.000,59473,1,BV,1,100,3.75
1760382256.960044,1561848.000,60281,1,BV,1,100,3.75
1760382261.958947,1566847.000,61090,1,BV,1,100,3.74
1760382266.958850,1571847.000,61884,1,BV,1,100,3.75
1760382271.957753,1576846.000,62692,1,BV,1,100,3.75
1760382276.957656,1581846.000,63501,1,BV,1,100,3.74
1760382281.956559,1586845.000,64309,1,BV,1,100,3.75
1760382286.956462,1591845.000,65122,1,BV,1,100,3.75
1760382291.955365,1596844.000,381,1,BV,1,100,3.75
1760382296.955268,1601844.000,1209,1,BV,1,100,3.75
1760382301.954171,1606843.000,2023,1,BV,1,100,3.75
1760382306.954074,1611843.000,2836,1,BV,1,100,3.75
1760382311.952977,1616842.000,3641,1,BV,1,100,3.74
1760382316.952880,1621842.000,4448,1,BV,1,100,3.75
1760382321.951783,1626841.000,5275,1,BV,1,100,3.75
1760382326.951686,1631841.000,6090,1,BV,1,100,3.74
